Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualFixedOperatingCost,TotalTechnologyAnnualActivity,NewCapacity,AnnualTechnologyEmission,Demand,CapitalInvestment,CapitalInvestmentStorage,AnnualVariableOperatingCost,TotalCapacityAnnual
Scenario1,0,RE1,,TRAEVSCHG003,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2027,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2028,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2029,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2030,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2031,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2032,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2033,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2034,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2035,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2036,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2037,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2038,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2039,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2040,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2041,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2042,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2043,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2044,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2045,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2046,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2047,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2048,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2049,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,TRAEVSCHG003,,2050,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2021,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2022,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2023,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2024,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2025,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2026,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2027,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2028,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2029,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2030,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2031,,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,INDOTHELCHTH,,2032,,,,,,,,,,,,0.0,,,,,,
